[2024-06-08 20:56:41] 	OPTIONS /api/tms/register-tms [status: 500 - message: Không tìm thấy đường dẫn]
[2024-06-08 20:58:09] 	POST /api/tms/register-tms [status: 500 - message: Error is occured at sendOrder: bcrypt is not defined]
[2024-06-08 20:59:42] 	OPTIONS /api/tms/register-tms [status: 500 - message: Không tìm thấy đường dẫn]
[2024-06-08 20:59:42] 	POST /api/tms/register-tms [status: 500 - message: Error is occured at sendOrder: bcrypt is not defined]
[2024-06-08 21:00:27] 	OPTIONS /api/tms/register-tms [status: 500 - message: Không tìm thấy đường dẫn]
[2024-06-08 21:05:59] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-06-08 21:05:59] 	POST /api/tms/update-status-order [status: 500 - message: Error is occured at updateStatusOrder: StatusOrder.keys is not a function]
[2024-06-08 21:07:26] 	OPTIONS /api/tms/update-status-order [status: 500 - message: Không tìm thấy đường dẫn]
[2024-06-08 22:00:27] 	POST /api/tms/get-order/666458f9d8f8927ab0cbf5f4 [status: 500 - message: Không tìm thấy đường dẫn]
